OS Type,Operating System,VM Name,Architecture,Power State,Virtualization Host
Linux,SUSE Linux Enterprise 11 (32-bit),SLES11-SP2,32,poweredOff,10.211.32.205
Linux,Red Hat Enterprise Linux 6 (64-bit),Fedora-21-64,64,poweredOff,10.211.32.205
Linux,SUSE Linux Enterprise 11 (32-bit),SLES11-SP3,32,poweredOff,10.211.32.205
Linux,Ubuntu Linux (64-bit),Rohan_Khale_Ubuntu_14_x64_Desktop,64,poweredOff,10.218.18.113
Linux,Red Hat Enterprise Linux 6 (64-bit),RHEL7-U1-64,64,poweredOff,10.211.32.205
Linux,Other Linux (64-bit),CentOS6-U5-64,64,poweredOff,10.211.32.205
Windows,Microsoft Windows Server 2008 R2 (64-bit),Bastion-Gateway-W2K8-R2,64,poweredOn,10.211.35.185
Linux,CentOS 4/5/6/7 (64-bit),Rohan_Khale_CentOS_6.6,64,poweredOff,10.218.18.113
Linux,Ubuntu Linux (64-bit),Ubuntu-15.10-desktop-64,64,poweredOff,10.211.32.205
Linux,Red Hat Enterprise Linux 6 (64-bit),CentOS7-64,64,poweredOff,10.211.32.205
Linux,Red Hat Enterprise Linux 6 (64-bit),CentOS7-U1-64,64,poweredOff,10.211.32.205
Linux,Red Hat Enterprise Linux 6 (64-bit),RHEL7-U3-64-IPv6,64,poweredOn,10.211.35.185
Linux,Ubuntu Linux (64-bit),Bastion,64,poweredOff,10.218.18.113
Linux,Red Hat Enterprise Linux 5 (32-bit),RHEL5-U10,32,poweredOff,10.211.32.205
Linux,SUSE Linux Enterprise 11 (64-bit),SLED11-SP3-64,64,poweredOff,10.211.32.205
Linux,Red Hat Enterprise Linux 5 (32-bit),RHEL5-U11,32,poweredOff,10.211.32.205
Linux,Oracle Linux 4/5/6/7 (64-bit),OracleLinux-R7-64,64,poweredOff,10.211.32.205
Linux,Ubuntu Linux (32-bit),DevVM_ubuntu-12.04.5-desktop-i386,32,poweredOn,10.211.32.205
Linux,Red Hat Enterprise Linux 6 (64-bit),RHEL-JP,64,poweredOff,10.218.18.113
Linux,Red Hat Enterprise Linux 6 (64-bit),rk_rhel6-u7-64,64,poweredOff,10.218.18.113
Linux,Oracle Linux 4/5/6/7 (64-bit),OracleLinux-R7-U1-64,64,poweredOff,10.211.32.205
Linux,SUSE Linux Enterprise 10 (32-bit),SLES10-SP4,32,poweredOff,10.211.32.205
Linux,Red Hat Enterprise Linux 6 (64-bit),Rohan_Khale_RHEL_7.1GA-x86_64,64,poweredOff,10.218.18.113
Linux,SUSE Linux Enterprise 11 (64-bit),SLED11-SP2-64,64,poweredOff,10.211.32.205
Linux,Red Hat Enterprise Linux 6 (64-bit),RHEL6-U6-64,64,poweredOff,10.211.32.205
Linux,Red Hat Enterprise Linux 6 (64-bit),PROXY-Server,64,poweredOn,10.211.32.205
Linux,Red Hat Enterprise Linux 5 (64-bit),RHEL5-U10-64,64,poweredOff,10.211.32.205
